feature,importance
category_tier,0.13059415
category_te,0.027383529
has_digital,0.01801509
bert_133,0.009330774
is_bestseller,0.009125042
bert_241,0.0064210915
char_count,0.006388957
bert_319,0.005333004
category_depth,0.0050347494
bert_115,0.005017521
engagement_rate,0.00499869
bert_127,0.004884247
bert_153,0.0047372524
bert_326,0.004577311
bert_223,0.004498222
text_word_count,0.004321313
has_wood,0.004306772
has_leather,0.00422158
trust_score,0.004210959
bert_265,0.004153763
premium_keyword_count,0.0040777624
avg_word_length,0.0038635693
bert_318,0.0038545057
reviews_log,0.0037825392
bert_71,0.0033915136
bert_347,0.0033196942
bert_125,0.003288889
bert_97,0.0032868497
has_silk,0.0032661005
bert_23,0.003210875
has_gold,0.0031124318
bert_308,0.003085484
bert_367,0.003062305
bert_245,0.0030462034
bert_202,0.003029785
bert_348,0.003006687
bert_182,0.0030017197
bert_179,0.0029984957
bert_207,0.0029832446
bert_218,0.0029419644
bert_211,0.0029410976
bert_35,0.0029216856
bert_273,0.0028952288
bert_313,0.0028416014
has_rattan,0.0028159467
bert_298,0.002809009
bert_95,0.0028081206
bert_19,0.002793294
bert_56,0.0027881656
bert_160,0.0027487732
bert_324,0.0027461166
bert_344,0.0026977647
bert_235,0.0026959267
bert_234,0.0026946836
bert_296,0.002668965
bert_145,0.0026505245
bert_251,0.0026428015
average_rating,0.002620855
bert_321,0.002618502
bert_219,0.0026115736
bert_339,0.0026093603
has_silver,0.002606584
bert_349,0.0025973981
bert_338,0.002593616
bert_228,0.002589881
bert_378,0.0025884171
bert_300,0.0025858465
bert_374,0.0025831454
bert_199,0.0025770762
bert_248,0.0025304055
bert_301,0.0024990172
bert_156,0.0024975396
bert_183,0.0024889326
bert_209,0.0024858986
bert_320,0.0024733911
bert_258,0.0024671494
bert_261,0.0024482645
bert_139,0.0024394456
bert_201,0.0024303787
bert_30,0.0024263894
bert_357,0.0024100265
bert_277,0.002401998
bert_57,0.0023486728
bert_137,0.002342722
bert_75,0.002333579
bert_379,0.0023322934
bert_336,0.0023272694
bert_168,0.0023198277
bert_340,0.0023089286
bert_103,0.0023030743
bert_60,0.0022975174
bert_101,0.0022938326
bert_76,0.0022818304
bert_354,0.0022773764
bert_37,0.0022772225
