feature,importance
category_tier,0.21827343
category_te,0.09784277
char_count,0.024398297
bert_241,0.023075905
bert_133,0.020196998
average_rating,0.019076755
bert_326,0.017814612
reviews_log,0.017730996
bert_35,0.015656058
bert_228,0.015055106
bert_319,0.014534965
trust_score,0.013691286
bert_308,0.0133802965
bert_23,0.012938576
has_digital,0.012701519
bert_318,0.011957748
bert_235,0.011650707
bert_56,0.011486086
bert_265,0.011409034
bert_367,0.010853017
bert_179,0.010813025
bert_300,0.010811179
bert_95,0.010614588
bert_321,0.010341441
bert_75,0.010293227
engagement_rate,0.010078686
bert_218,0.010021048
bert_153,0.009808935
bert_207,0.00947754
has_leather,0.009472835
avg_word_length,0.009403771
bert_298,0.009314641
bert_19,0.008757661
bert_349,0.0084696
bert_301,0.008150531
bert_160,0.008093584
bert_347,0.008082699
bert_201,0.008015415
bert_378,0.007770589
bert_313,0.0077296672
bert_10,0.0077271285
bert_115,0.0076661105
bert_97,0.0074851383
bert_341,0.0074322843
premium_keyword_count,0.00722585
bert_291,0.0071360436
bert_251,0.0068305777
text_word_count,0.006567502
bert_57,0.0063103423
bert_101,0.0062065744
bert_297,0.006195925
bert_330,0.0061310134
bert_226,0.00609028
bert_71,0.005874715
bert_30,0.0058561196
bert_139,0.0056900433
bert_145,0.005603407
bert_127,0.0055398624
bert_277,0.005366168
bert_156,0.0052721244
bert_245,0.005230398
bert_223,0.0051870584
bert_14,0.0051743854
bert_258,0.005171704
bert_331,0.005132354
bert_282,0.004996372
bert_6,0.004928655
bert_273,0.004915002
bert_202,0.004808148
bert_69,0.004610701
bert_314,0.004489464
bert_369,0.004470529
bert_141,0.004396545
bert_81,0.0043878346
bert_296,0.0043399585
bert_28,0.0042106304
bert_340,0.0041155857
bert_203,0.0041138693
bert_379,0.0040434287
bert_200,0.00403519
bert_337,0.0039706104
bert_91,0.0039347424
bert_15,0.003923453
bert_158,0.0038832722
bert_312,0.0038540913
bert_182,0.0037466725
bert_219,0.0037400632
bert_234,0.0036615497
bert_344,0.0036080624
bert_348,0.0036078987
bert_249,0.0035688546
bert_64,0.0034419843
bert_356,0.0034344436
bert_2,0.0033972142
bert_16,0.0033898796
bert_239,0.0033649502
bert_186,0.0032875193
bert_324,0.0032569522
bert_354,0.0032330072
bert_122,0.0031982174
bert_77,0.0031957456
bert_211,0.0031655594
has_silk,0.0031588783
bert_168,0.003132611
bert_199,0.0031132405
bert_124,0.0030905835
bert_299,0.0030892729
bert_194,0.003035146
bert_136,0.003024851
bert_175,0.0030203338
bert_140,0.002982208
bert_261,0.0029622451
bert_365,0.0029515517
bert_80,0.0029487936
bert_159,0.0029485396
bert_229,0.0029342084
bert_183,0.0029278947
bert_237,0.002903017
bert_284,0.0028842094
bert_148,0.0028799307
bert_103,0.0028651732
bert_146,0.00281484
bert_376,0.0027938192
bert_92,0.0027574736
bert_39,0.0027282655
bert_320,0.0027229076
bert_184,0.0027133303
bert_93,0.0026637216
bert_44,0.0026417612
bert_60,0.0026172418
bert_162,0.0025868074
bert_309,0.0025685623
bert_233,0.002488897
bert_104,0.002473443
bert_372,0.002456158
bert_22,0.0024275205
bert_307,0.0023960616
bert_382,0.0023913188
bert_236,0.0023843253
bert_315,0.0023792894
bert_329,0.0023584438
bert_130,0.0023123734
bert_107,0.0023022976
bert_286,0.0022881406
bert_116,0.002281663
bert_357,0.002280052
bert_338,0.002261795
bert_208,0.0022586358
bert_339,0.002244222
bert_49,0.0022362182
bert_227,0.002226422
bert_276,0.0022241233
bert_144,0.0022144786
bert_114,0.0021886462
bert_128,0.0021846653
bert_351,0.0021698575
bert_180,0.0021670416
bert_181,0.002142607
bert_253,0.0021411197
bert_54,0.0021403998
bert_119,0.002133392
has_gold,0.0021109106
bert_217,0.0021074982
bert_287,0.0020808424
bert_70,0.001990019
bert_83,0.001962224
bert_209,0.0019374934
bert_32,0.0019178567
bert_117,0.0019158765
bert_281,0.0018974475
bert_137,0.0018953095
bert_142,0.0018839637
bert_377,0.0018667781
bert_132,0.0018634263
bert_149,0.0018575395
bert_25,0.0018481347
bert_86,0.0018361835
bert_105,0.0018127778
bert_13,0.0018118833
bert_113,0.0018079834
bert_244,0.0017974558
bert_214,0.0017894583
bert_361,0.0017700637
bert_310,0.0017537334
bert_230,0.0017395264
bert_98,0.0017393776
bert_285,0.0017392384
bert_190,0.0017167246
bert_51,0.0017001434
bert_129,0.0016981266
bert_88,0.001689737
bert_246,0.0016837018
bert_383,0.001671488
bert_271,0.0016515055
bert_131,0.0016498778
bert_304,0.0016440873
bert_55,0.0016250155
bert_135,0.0016249112
bert_172,0.0016160393
bert_262,0.0016104502
bert_270,0.001602309
bert_79,0.0015988853
bert_316,0.0015708307
bert_343,0.0015636805
bert_373,0.0015440815
bert_118,0.0015378534
bert_76,0.0015362687
bert_332,0.0015230618
bert_247,0.0015143103
bert_20,0.0015029443
bert_334,0.0014993304
bert_176,0.0014946192
bert_110,0.0014917263
bert_222,0.0014698876
bert_26,0.0014610374
bert_231,0.001453951
bert_255,0.0014518503
bert_250,0.0014322797
bert_1,0.0014314462
bert_177,0.00143003
bert_350,0.0014263459
bert_368,0.001412344
bert_24,0.0014047326
has_wood,0.001386454
bert_31,0.0013850124
bert_87,0.0013809564
bert_370,0.0013783961
bert_163,0.0013567955
bert_360,0.0013558305
bert_252,0.0013461019
bert_170,0.0013373967
bert_248,0.0013339992
bert_171,0.0013303987
bert_47,0.0013260435
bert_266,0.0013246364
bert_58,0.0013204771
bert_147,0.0013135705
bert_335,0.0013117366
bert_65,0.0013070329
bert_243,0.0013048392
bert_150,0.0013021381
bert_206,0.0012856086
bert_72,0.0012842097
category_depth,0.0012739365
bert_336,0.0012730393
bert_238,0.0012706084
bert_36,0.0012694402
bert_37,0.0012581532
bert_143,0.0012528052
bert_151,0.0012503453
bert_303,0.0012502226
bert_43,0.0012501843
bert_216,0.0012495234
bert_108,0.0012444642
bert_167,0.001239868
bert_33,0.0012348851
bert_263,0.001230958
bert_188,0.0012152978
bert_264,0.0011810507
bert_29,0.0011794568
bert_18,0.0011750687
bert_99,0.0011700543
bert_48,0.0011696052
bert_40,0.0011688712
bert_41,0.0011666265
bert_5,0.0011598689
bert_123,0.0011558477
bert_302,0.0011544453
bert_268,0.0011371945
bert_195,0.0011358261
bert_0,0.001124745
bert_325,0.0011240012
bert_78,0.0011227401
bert_102,0.001122666
bert_152,0.001119956
bert_191,0.0011189083
bert_121,0.0011166875
bert_293,0.0011129937
bert_34,0.0011074982
bert_106,0.001091411
bert_374,0.0010802702
bert_242,0.001079908
bert_232,0.0010780005
bert_355,0.0010744581
bert_61,0.0010690137
bert_45,0.0010611499
bert_363,0.0010602426
bert_178,0.001050352
bert_109,0.0010442483
bert_112,0.0010346789
bert_27,0.0010326273
bert_215,0.0010306714
bert_213,0.0010223241
bert_161,0.0010140025
bert_280,0.0010027896
bert_90,0.0009878248
bert_311,0.0009812142
bert_193,0.000979047
bert_306,0.000972709
bert_283,0.00097043
bert_96,0.0009624868
bert_4,0.00096020213
bert_192,0.00094893744
bert_50,0.0009361124
bert_224,0.0009304961
bert_59,0.00093031075
bert_8,0.0009205087
bert_371,0.0009204948
bert_157,0.00092033844
bert_169,0.0009184735
bert_63,0.00091837015
bert_260,0.00090937235
bert_126,0.0009046094
bert_305,0.0008988825
bert_66,0.0008961721
bert_9,0.0008944034
bert_197,0.00089134363
bert_256,0.00089104654
